x,U_0,U_1,U_2
0,-1.90807e-09,2.63915e-05,-8.64674e-10
0.000160804,-3.68419e-11,0.00129863,1.39288e-12
0.000321608,3.42748e-11,0.00257579,1.39289e-12
0.000482412,8.15434e-11,0.00385299,1.39289e-12
0.000643216,1.22773e-10,0.0051302,1.39288e-12
0.00080402,-1.59863e-10,0.00493572,1.41911e-12
0.000964824,-1.86148e-10,0.00591958,1.41911e-12
0.00112563,-2.14067e-10,0.00693623,1.41911e-12
0.00128643,2.73709e-10,0.0102816,1.39288e-12
0.00144724,-2.69312e-10,0.00890395,1.41911e-12
0.00160804,3.45813e-10,0.0128361,1.39289e-12
0.00176884,-3.25426e-10,0.0108717,1.41911e-12
0.00192965,-3.53675e-10,0.0118555,1.41912e-12
0.00209045,-3.82008e-10,0.0128394,1.41911e-12
0.00225126,4.8965e-10,0.0179875,1.39289e-12
0.00241206,-4.39821e-10,0.0148399,1.41911e-12
0.00257286,5.60583e-10,0.020542,1.39289e-12
0.00273367,-4.96872e-10,0.0168076,1.41912e-12
0.00289447,6.31372e-10,0.0230964,1.39288e-12
0.00305528,-5.54048e-10,0.0187753,1.41911e-12
0.00321608,-5.83626e-10,0.019792,1.41911e-12
0.00337688,-6.12268e-10,0.0207759,1.41911e-12
0.00353769,-6.40926e-10,0.0217597,1.4191e-12
0.00369849,-6.69599e-10,0.0227436,1.41911e-12
0.0038593,8.44404e-10,0.0308023,1.39288e-12
0.0040201,-7.26983e-10,0.0247113,1.41911e-12
0.0041809,9.14918e-10,0.0333568,1.39288e-12
0.00434171,-7.85362e-10,0.0267118,1.41911e-12
0.00450251,9.86572e-10,0.0359538,1.39288e-12
0.00466332,-8.42816e-10,0.0286795,1.41911e-12
0.00482412,1.05703e-09,0.0385082,1.39289e-12
0.00498492,1.09224e-09,0.0397855,1.39288e-12
0.00514573,-9.29038e-10,0.0316311,1.41911e-12
0.00530653,-9.5779e-10,0.032615,1.41911e-12
0.00546734,-9.87504e-10,0.0336316,1.41911e-12
0.00562814,1.23425e-09,0.0449369,1.39288e-12
0.00578894,1.26944e-09,0.0462141,1.39288e-12
0.00594975,-1.07379e-09,0.0365832,1.41911e-12
0.00611055,1.33983e-09,0.0487686,1.39289e-12
0.00627136,-1.13134e-09,0.0385509,1.41911e-12
0.00643216,-1.16107e-09,0.0395676,1.41911e-12
0.00659296,-1.18985e-09,0.0405515,1.41911e-12
0.00675377,1.48174e-09,0.05392,1.39288e-12
0.00691457,1.51692e-09,0.0551973,1.39288e-12
0.00707538,-1.27619e-09,0.043503,1.41911e-12
0.00723618,1.58728e-09,0.0577517,1.39288e-12
0.00739698,-1.33376e-09,0.0454708,1.4191e-12
0.00755779,1.6588e-09,0.0603487,1.39289e-12
0.00771859,-1.3923e-09,0.0474713,1.41911e-12
0.0078794,1.72914e-09,0.0629032,1.39289e-12
0.0080402,1.76431e-09,0.0641804,1.39288e-12
0.00820101,-1.47867e-09,0.0504229,1.41911e-12
0.00836181,1.83465e-09,0.0667348,1.39288e-12
0.00852261,-1.53626e-09,0.0523906,1.41911e-12
0.00868342,1.90616e-09,0.0693319,1.39289e-12
0.00884422,1.94132e-09,0.0706091,1.39289e-12
0.00900503,1.97648e-09,0.0718863,1.39289e-12
0.00916583,2.01165e-09,0.0731635,1.39289e-12
0.00932663,-1.68121e-09,0.0573427,1.41911e-12
0.00948744,-1.71002e-09,0.0583265,1.41911e-12
0.00964824,2.1183e-09,0.0770378,1.39289e-12
0.00980905,2.15346e-09,0.078315,1.39288e-12
0.00996985,-1.79738e-09,0.0613109,1.41911e-12
0.0101307,2.22378e-09,0.0808694,1.39289e-12
0.0102915,2.25894e-09,0.0821466,1.39289e-12
0.0104523,2.2941e-09,0.0834239,1.39288e-12
0.0106131,-1.9126e-09,0.0652464,1.41911e-12
0.0107739,-1.94237e-09,0.066263,1.41911e-12
0.0109347,-1.97117e-09,0.0672469,1.41911e-12
0.0110955,2.43589e-09,0.0885753,1.39289e-12
0.0112563,-2.02879e-09,0.0692146,1.41911e-12
0.0114171,2.5062e-09,0.0911298,1.39288e-12
0.0115779,-2.08641e-09,0.0711823,1.41911e-12
0.0117387,-2.11617e-09,0.072199,1.41911e-12
0.0118995,2.61283e-09,0.095004,1.39289e-12
0.0120603,-2.17379e-09,0.0741667,1.41911e-12
0.0122211,2.68314e-09,0.0975585,1.39288e-12
0.0123819,2.71829e-09,0.0988357,1.39288e-12
0.0125427,2.75344e-09,0.100113,1.39288e-12
0.0127035,2.78859e-09,0.10139,1.39289e-12
0.0128643,2.82492e-09,0.10271,1.39291e-12
0.0130251,2.86007e-09,0.103987,1.39289e-12
0.0131859,-2.37643e-09,0.0810865,1.41911e-12
0.0133467,2.93037e-09,0.106542,1.39289e-12
0.0135075,-2.43405e-09,0.0830542,1.41911e-12
0.0136683,-2.46287e-09,0.0840381,1.41911e-12
0.0138291,3.03582e-09,0.110373,1.39289e-12
0.0139899,-2.52145e-09,0.0860386,1.41911e-12
0.0141508,3.10729e-09,0.11297,1.39288e-12
0.0143116,3.14244e-09,0.114247,1.39289e-12
0.0144724,-2.60789e-09,0.0889902,1.41911e-12
0.0146332,-2.63671e-09,0.0899741,1.41911e-12
0.014794,-2.66552e-09,0.0909579,1.41911e-12
0.0149548,3.28421e-09,0.119399,1.39289e-12
0.0151156,3.31936e-09,0.120676,1.39289e-12
0.0152764,3.3545e-09,0.121953,1.39289e-12
0.0154372,-2.78174e-09,0.0949262,1.41911e-12
0.015598,3.4248e-09,0.124508,1.39288e-12
0.0157588,-2.83937e-09,0.0968939,1.41911e-12
0.0159196,-2.86818e-09,0.0978777,1.41911e-12
0.0160804,-2.89796e-09,0.0988944,1.41911e-12
