x,U_0,U_1,U_2
0,-1.38588e-09,2.73849e-05,-4.08755e-10
0.000160804,-2.17181e-11,0.00132209,7.08506e-13
0.000321608,2.4636e-11,0.00262233,7.0851e-13
0.000482412,5.59485e-11,0.00392261,7.08511e-13
0.000643216,8.34517e-11,0.00522289,7.08514e-13
0.00080402,-9.58397e-11,0.00509779,7.31021e-13
0.000964824,-1.11277e-10,0.00611396,7.31019e-13
0.00112563,-1.27726e-10,0.00716399,7.31021e-13
0.00128643,1.84694e-10,0.0104674,7.0851e-13
0.00144724,-1.60359e-10,0.00919633,7.31023e-13
0.00160804,-1.7691e-10,0.0102125,7.31023e-13
0.00176884,-1.93562e-10,0.0112287,7.31023e-13
0.00192965,2.81261e-10,0.0156686,7.08513e-13
0.00209045,-2.27074e-10,0.013261,7.31019e-13
0.00225126,-2.44466e-10,0.014311,7.3102e-13
0.00241206,3.53811e-10,0.0196128,7.08512e-13
0.00257286,-2.78231e-10,0.0163434,7.31022e-13
0.00273367,-2.95153e-10,0.0173595,7.31021e-13
0.00289447,-3.12095e-10,0.0183757,7.31022e-13
0.00305528,-3.29054e-10,0.0193919,7.31022e-13
0.00321608,4.73681e-10,0.0261577,7.08513e-13
0.00337688,-3.63579e-10,0.0214581,7.31022e-13
0.00353769,-3.80576e-10,0.0224742,7.31021e-13
0.00369849,5.44966e-10,0.0300586,7.08511e-13
0.0038593,5.68712e-10,0.0313589,7.08514e-13
0.0040201,-4.31619e-10,0.0255227,7.31023e-13
0.0041809,-4.48647e-10,0.0265389,7.3102e-13
0.00434171,-4.66249e-10,0.027589,7.31021e-13
0.00450251,-4.83288e-10,0.0286051,7.31021e-13
0.00466332,6.88142e-10,0.0379037,7.0851e-13
0.00482412,7.11857e-10,0.039204,7.08511e-13
0.00498492,-5.3443e-10,0.0316536,7.31022e-13
0.00514573,7.59277e-10,0.0418046,7.0851e-13
0.00530653,-5.68542e-10,0.033686,7.31022e-13
0.00546734,8.07475e-10,0.0444485,7.08512e-13
0.00562814,-6.03234e-10,0.0357522,7.31021e-13
0.00578894,8.54874e-10,0.0470491,7.08511e-13
0.00594975,8.7857e-10,0.0483494,7.08512e-13
0.00611055,9.02265e-10,0.0496497,7.08512e-13
0.00627136,-6.71507e-10,0.0398168,7.3102e-13
0.00643216,9.50438e-10,0.0522937,7.08512e-13
0.00659296,-7.06224e-10,0.041883,7.31022e-13
0.00675377,9.97817e-10,0.0548942,7.08513e-13
0.00691457,-7.40377e-10,0.0439154,7.31022e-13
0.00707538,1.04519e-09,0.0574948,7.08512e-13
0.00723618,1.06887e-09,0.0587951,7.08511e-13
0.00739698,1.09256e-09,0.0600954,7.08511e-13
0.00755779,-8.09267e-10,0.0480139,7.31022e-13
0.00771859,-8.26349e-10,0.0490301,7.31022e-13
0.0078794,-8.43433e-10,0.0500462,7.31022e-13
0.0080402,-8.60517e-10,0.0510624,7.31022e-13
0.00820101,1.21176e-09,0.0666403,7.08514e-13
0.00836181,1.23543e-09,0.0679406,7.08511e-13
0.00852261,-9.11775e-10,0.0541109,7.31021e-13
0.00868342,-9.29432e-10,0.055161,7.31021e-13
0.00884422,-9.4652e-10,0.0561771,7.31021e-13
0.00900503,-9.63609e-10,0.0571933,7.31019e-13
0.00916583,-9.80698e-10,0.0582095,7.31021e-13
0.00932663,-9.97788e-10,0.0592256,7.31021e-13
0.00948744,-1.01488e-09,0.0602418,7.31022e-13
0.00964824,-1.03254e-09,0.0612918,7.31022e-13
0.00980905,1.4501e-09,0.0797299,7.08513e-13
0.00996985,1.47377e-09,0.0810302,7.08512e-13
0.0101307,1.49745e-09,0.0823305,7.08512e-13
0.0102915,1.52112e-09,0.0836308,7.08512e-13
0.0104523,1.54479e-09,0.0849311,7.08512e-13
0.0106131,-1.13509e-09,0.0673888,7.31022e-13
0.0107739,-1.15276e-09,0.0684389,7.31021e-13
0.0109347,-1.16985e-09,0.069455,7.31022e-13
0.0110955,1.64027e-09,0.0901757,7.08513e-13
0.0112563,-1.20404e-09,0.0714874,7.31021e-13
0.0114171,-1.22113e-09,0.0725035,7.31022e-13
0.0115779,1.71128e-09,0.0940766,7.08512e-13
0.0117387,-1.25589e-09,0.0745698,7.31022e-13
