x,U_0,U_1,U_2
0,4.94374e-10,2.5595e-05,4.64296e-10
0.000160804,-1.44619e-11,0.000977548,2.43108e-12
0.000321608,-7.30785e-11,0.00193894,2.43111e-12
0.000482412,1.55737e-10,0.00380467,2.4102e-12
0.000643216,2.0171e-10,0.00506587,2.41019e-12
0.00080402,-2.13341e-10,0.00482322,2.43111e-12
0.000964824,-2.5809e-10,0.00578466,2.4311e-12
0.00112563,3.45371e-10,0.00889151,2.41019e-12
0.00128643,-3.48305e-10,0.00773957,2.4311e-12
0.00144724,-3.92463e-10,0.00870101,2.4311e-12
0.00160804,-4.36537e-10,0.00966244,2.43111e-12
0.00176884,-4.8055e-10,0.0106239,2.43113e-12
0.00192965,-5.24514e-10,0.0115853,2.43118e-12
0.00209045,-5.68452e-10,0.0125468,2.43111e-12
0.00225126,-6.13822e-10,0.0135402,2.43111e-12
0.00241206,-6.57706e-10,0.0145017,2.43109e-12
0.00257286,7.80219e-10,0.0202844,2.41019e-12
0.00273367,8.2851e-10,0.0215456,2.41017e-12
0.00289447,8.76812e-10,0.0228068,2.4102e-12
0.00305528,9.25125e-10,0.024068,2.41019e-12
0.00321608,9.75058e-10,0.0253712,2.4102e-12
0.00337688,1.02339e-09,0.0266324,2.41018e-12
0.00353769,-9.65978e-10,0.0212638,2.43111e-12
0.00369849,-1.00978e-09,0.0222252,2.43111e-12
0.0038593,-1.05357e-09,0.0231866,2.43111e-12
0.0040201,-1.09736e-09,0.0241481,2.4311e-12
0.0041809,-1.14114e-09,0.0251095,2.43111e-12
0.00434171,-1.18638e-09,0.026103,2.43112e-12
0.00450251,-1.23016e-09,0.0270644,2.43112e-12
0.00466332,-1.27393e-09,0.0280259,2.43112e-12
0.00482412,-1.31771e-09,0.0289873,2.4311e-12
0.00498492,1.50853e-09,0.0392865,2.4102e-12
0.00514573,-1.40525e-09,0.0309102,2.4311e-12
0.00530653,-1.44901e-09,0.0318716,2.43111e-12
0.00546734,1.65526e-09,0.0431122,2.41019e-12
0.00562814,-1.538e-09,0.0338265,2.43112e-12
0.00578894,1.75201e-09,0.0456346,2.4102e-12
0.00594975,-1.62552e-09,0.0357494,2.43112e-12
0.00611055,1.84876e-09,0.048157,2.41019e-12
0.00627136,-1.71304e-09,0.0376723,2.43111e-12
0.00643216,-1.75826e-09,0.0386658,2.43111e-12
