x,U_0,U_1,U_2
0,1.37784e-09,2.44061e-05,1.73821e-09
0.000160804,-1.35006e-12,0.000948011,5.65882e-12
0.000321608,2.05809e-10,0.00250164,5.69436e-12
0.000482412,2.71146e-10,0.00374207,5.69437e-12
0.000643216,3.43809e-10,0.00498252,5.69437e-12
0.00080402,4.19416e-10,0.00622297,5.69437e-12
0.000964824,-4.8637e-10,0.00560987,5.65895e-12
0.00112563,5.77035e-10,0.00874522,5.69437e-12
0.00128643,6.55507e-10,0.00998567,5.69438e-12
0.00144724,7.34327e-10,0.0112261,5.69437e-12
0.00160804,8.13391e-10,0.0124666,5.69437e-12
0.00176884,8.92633e-10,0.013707,5.69436e-12
0.00192965,9.72007e-10,0.0149475,5.69433e-12
0.00209045,1.05149e-09,0.0161879,5.69436e-12
0.00225126,-1.16536e-09,0.0131311,5.65893e-12
0.00241206,1.21332e-09,0.0187102,5.69436e-12
0.00257286,1.293e-09,0.0199506,5.69436e-12
0.00273367,1.37272e-09,0.0211911,5.69435e-12
0.00289447,1.45248e-09,0.0224315,5.69437e-12
0.00305528,1.53227e-09,0.023672,5.69437e-12
0.00321608,1.61475e-09,0.0249538,5.69437e-12
0.00337688,1.69458e-09,0.0261943,5.69436e-12
0.00353769,1.77444e-09,0.0274347,5.69437e-12
0.00369849,-1.91905e-09,0.0215537,5.65894e-12
0.0038593,1.9342e-09,0.0299156,5.69438e-12
0.0040201,2.0141e-09,0.0311561,5.69437e-12
0.0041809,2.09401e-09,0.0323965,5.69438e-12
0.00434171,2.1766e-09,0.0336783,5.69438e-12
0.00450251,2.25653e-09,0.0349188,5.69438e-12
0.00466332,2.33647e-09,0.0361592,5.69436e-12
0.00482412,2.41642e-09,0.0373997,5.69436e-12
0.00498492,2.49637e-09,0.0386401,5.69437e-12
0.00514573,2.57633e-09,0.0398806,5.69436e-12
0.00530653,2.65629e-09,0.041121,5.69437e-12
0.00546734,2.73893e-09,0.0424028,5.69437e-12
0.00562814,2.8189e-09,0.0436433,5.69437e-12
0.00578894,2.89888e-09,0.0448838,5.69438e-12
0.00594975,2.97886e-09,0.0461242,5.69438e-12
0.00611055,3.05885e-09,0.0473647,5.69437e-12
0.00627136,3.13884e-09,0.0486051,5.69437e-12
0.00643216,3.22149e-09,0.0498869,5.69437e-12
0.00659296,3.30149e-09,0.0511274,5.69437e-12
0.00675377,3.38149e-09,0.0523678,5.69438e-12
0.00691457,3.46149e-09,0.0536083,5.69438e-12
0.00707538,3.54149e-09,0.0548487,5.69437e-12
0.00723618,-3.75898e-09,0.0421594,5.65894e-12
0.00739698,3.70149e-09,0.0573296,5.69434e-12
0.00755779,3.78417e-09,0.0586114,5.69436e-12
0.00771859,3.86418e-09,0.0598519,5.69436e-12
0.0078794,3.94419e-09,0.0610924,5.69437e-12
0.0080402,4.0242e-09,0.0623328,5.69437e-12
0.00820101,4.10421e-09,0.0635733,5.69436e-12
0.00836181,4.18423e-09,0.0648137,5.69437e-12
0.00852261,-4.42744e-09,0.0496496,5.65895e-12
0.00868342,4.34693e-09,0.067336,5.69437e-12
0.00884422,4.42694e-09,0.0685764,5.69436e-12
0.00900503,4.50696e-09,0.0698169,5.69436e-12
0.00916583,4.58698e-09,0.0710573,5.69437e-12
0.00932663,4.667e-09,0.0722978,5.69437e-12
0.00948744,-4.92942e-09,0.055275,5.65894e-12
0.00964824,4.82972e-09,0.07482,5.69437e-12
0.00980905,4.90974e-09,0.0760605,5.69438e-12
0.00996985,4.98977e-09,0.0773009,5.69437e-12
0.0101307,5.06979e-09,0.0785414,5.69435e-12
0.0102915,5.14982e-09,0.0797819,5.69436e-12
0.0104523,5.22985e-09,0.0810223,5.69437e-12
0.0106131,5.30987e-09,0.0822628,5.69437e-12
0.0107739,5.39257e-09,0.0835446,5.69437e-12
0.0109347,5.4726e-09,0.084785,5.69437e-12
0.0110955,5.55263e-09,0.0860255,5.69436e-12
0.0112563,5.63266e-09,0.0872659,5.69437e-12
0.0114171,5.71269e-09,0.0885064,5.69437e-12
0.0115779,5.79272e-09,0.0897468,5.69437e-12
0.0117387,5.87542e-09,0.0910286,5.69437e-12
0.0118995,5.95545e-09,0.0922691,5.69437e-12
0.0120603,6.03548e-09,0.0935095,5.69437e-12
0.0122211,6.11552e-09,0.09475,5.69437e-12
0.0123819,6.19555e-09,0.0959904,5.69437e-12
0.0125427,6.27558e-09,0.0972309,5.69436e-12
0.0127035,6.35562e-09,0.0984714,5.69436e-12
0.0128643,6.43832e-09,0.0997532,5.69436e-12
0.0130251,6.51835e-09,0.100994,5.69437e-12
0.0131859,6.59839e-09,0.102234,5.69437e-12
0.0133467,6.67842e-09,0.103475,5.69437e-12
0.0135075,6.75846e-09,0.104715,5.69437e-12
0.0136683,6.83849e-09,0.105955,5.69437e-12
0.0138291,6.91853e-09,0.107196,5.69437e-12
0.0139899,7.00123e-09,0.108478,5.69437e-12
0.0141508,7.08127e-09,0.109718,5.69437e-12
0.0143116,7.16131e-09,0.110959,5.69437e-12
0.0144724,7.24134e-09,0.112199,5.69437e-12
0.0146332,7.32138e-09,0.113439,5.69437e-12
0.014794,7.40142e-09,0.11468,5.69437e-12
0.0149548,7.48412e-09,0.115962,5.69437e-12
0.0151156,7.56416e-09,0.117202,5.69437e-12
0.0152764,7.6442e-09,0.118443,5.69437e-12
0.0154372,7.72424e-09,0.119683,5.69437e-12
0.015598,7.80428e-09,0.120924,5.69436e-12
0.0157588,7.88432e-09,0.122164,5.69437e-12
0.0159196,7.96435e-09,0.123404,5.69437e-12
0.0160804,8.04706e-09,0.124686,5.69437e-12
0.0162412,-8.44273e-09,0.0946527,5.65895e-12
0.016402,8.20714e-09,0.127167,5.69437e-12
0.0165628,-8.60909e-09,0.0965175,5.65895e-12
0.0167236,8.36722e-09,0.129648,5.69437e-12
0.0168844,8.44726e-09,0.130889,5.69437e-12
0.0170452,8.5273e-09,0.132129,5.69437e-12
0.017206,8.61001e-09,0.133411,5.69437e-12
0.0173668,-9.02777e-09,0.101211,5.65894e-12
0.0175276,8.77009e-09,0.135892,5.69437e-12
0.0176884,-9.19413e-09,0.103075,5.65895e-12
0.0178492,-9.27731e-09,0.104008,5.65895e-12
0.0180101,9.01021e-09,0.139613,5.69438e-12
0.0181709,9.09292e-09,0.140895,5.69436e-12
0.0183317,9.17296e-09,0.142135,5.69436e-12
0.0184925,9.25301e-09,0.143376,5.69437e-12
0.0186533,9.33305e-09,0.144616,5.69437e-12
0.0188141,9.41309e-09,0.145857,5.69437e-12
0.0189749,9.49313e-09,0.147097,5.69437e-12
0.0191357,9.57317e-09,0.148338,5.69437e-12
0.0192965,9.65588e-09,0.149619,5.69437e-12
0.0194573,9.73592e-09,0.15086,5.69437e-12
0.0196181,9.81597e-09,0.1521,5.69437e-12
0.0197789,9.89601e-09,0.153341,5.69437e-12
0.0199397,-1.03642e-08,0.116191,5.65894e-12
0.0201005,-1.04474e-08,0.117123,5.65894e-12
0.0202613,-1.05306e-08,0.118056,5.65895e-12
0.0204221,1.02188e-08,0.158344,5.69437e-12
0.0205829,1.02989e-08,0.159584,5.69437e-12
0.0207437,1.03789e-08,0.160825,5.69437e-12
0.0209045,1.0459e-08,0.162065,5.69437e-12
0.0210653,1.0539e-08,0.163306,5.69436e-12
0.0212261,1.06191e-08,0.164546,5.69437e-12
0.0213869,1.07018e-08,0.165828,5.69437e-12
0.0215477,1.07818e-08,0.167068,5.69437e-12
0.0217085,-1.12847e-08,0.126509,5.65894e-12
0.0218693,1.09419e-08,0.169549,5.69437e-12
0.0220302,1.10219e-08,0.17079,5.69437e-12
0.022191,1.1102e-08,0.17203,5.69437e-12
0.0223518,1.1182e-08,0.173271,5.69438e-12
0.0225126,1.12647e-08,0.174553,5.69437e-12
0.0226734,1.13448e-08,0.175793,5.69437e-12
0.0228342,1.14248e-08,0.177033,5.69437e-12
0.022995,-1.19529e-08,0.133999,5.65895e-12
0.0231558,1.15849e-08,0.179514,5.69437e-12
0.0233166,1.1665e-08,0.180755,5.69437e-12
0.0234774,1.17477e-08,0.182037,5.69438e-12
0.0236382,1.18277e-08,0.183277,5.69438e-12
0.023799,1.19078e-08,0.184517,5.69435e-12
0.0239598,1.19878e-08,0.185758,5.69437e-12
0.0241206,1.20679e-08,0.186998,5.69437e-12
0.0242814,1.21479e-08,0.188239,5.69437e-12
0.0244422,1.22279e-08,0.189479,5.69437e-12
0.024603,1.23107e-08,0.190761,5.69437e-12
0.0247638,1.23907e-08,0.192002,5.69437e-12
0.0249246,1.24707e-08,0.193242,5.69437e-12
0.0250854,1.25508e-08,0.194482,5.69437e-12
0.0252462,1.26308e-08,0.195723,5.69437e-12
0.025407,1.27109e-08,0.196963,5.69437e-12
0.0255678,1.27909e-08,0.198204,5.69437e-12
0.0257286,1.28736e-08,0.199486,5.69437e-12
0.0258894,1.29537e-08,0.200726,5.69437e-12
0.0260503,1.30337e-08,0.201967,5.69437e-12
0.0262111,1.31138e-08,0.203207,5.69437e-12
0.0263719,1.31938e-08,0.204447,5.69437e-12
0.0265327,1.32739e-08,0.205688,5.69437e-12
0.0266935,1.33566e-08,0.20697,5.69437e-12
0.0268543,1.34366e-08,0.20821,5.69437e-12
0.0270151,1.35167e-08,0.209451,5.69437e-12
0.0271759,1.35967e-08,0.210691,5.69437e-12
0.0273367,1.36768e-08,0.211932,5.69437e-12
0.0274975,1.37568e-08,0.213172,5.69437e-12
0.0276583,1.38368e-08,0.214412,5.69437e-12
0.0278191,1.39196e-08,0.215694,5.69437e-12
0.0279799,1.39996e-08,0.216935,5.69437e-12
0.0281407,1.40796e-08,0.218175,5.69437e-12
0.0283015,1.41597e-08,0.219416,5.69437e-12
0.0284623,1.42397e-08,0.220656,5.69437e-12
0.0286231,1.43198e-08,0.221897,5.69437e-12
0.0287839,1.43998e-08,0.223137,5.69437e-12
0.0289447,1.44825e-08,0.224419,5.69437e-12
0.0291055,1.45626e-08,0.225659,5.69437e-12
0.0292663,1.46426e-08,0.2269,5.69435e-12
0.0294271,-1.52966e-08,0.171481,5.65894e-12
0.0295879,1.48027e-08,0.229381,5.69437e-12
0.0297487,1.48828e-08,0.230621,5.69437e-12
0.0299095,1.49655e-08,0.231903,5.69437e-12
0.0300704,1.50455e-08,0.233143,5.69437e-12
0.0302312,1.51256e-08,0.234384,5.69437e-12
0.030392,1.52056e-08,0.235624,5.69437e-12
0.0305528,1.52857e-08,0.236865,5.69437e-12
0.0307136,1.53657e-08,0.238105,5.69437e-12
0.0308744,1.54458e-08,0.239346,5.69437e-12
0.0310352,1.55285e-08,0.240627,5.69437e-12
0.031196,1.56085e-08,0.241868,5.69437e-12
0.0313568,1.56886e-08,0.243108,5.69437e-12
0.0315176,1.57686e-08,0.244349,5.69437e-12
0.0316784,1.58487e-08,0.245589,5.69437e-12
0.0318392,1.59287e-08,0.24683,5.69437e-12
0.032,2.21424e-08,0.19082,-1.30307e-08
