x,U_0,U_1,U_2
0,1.10851e-09,2.39584e-05,1.29132e-09
0.000160804,1.61104e-10,0.001254,8.08757e-12
0.000321608,-1.86945e-10,0.00186026,7.9916e-12
0.000482412,3.17389e-10,0.00372058,8.0876e-12
0.000643216,-4.17449e-10,0.00370507,7.99161e-12
0.00080402,5.05959e-10,0.00618723,8.0876e-12
0.000964824,-6.3793e-10,0.00554991,7.9916e-12
0.00112563,-7.50722e-10,0.00650307,7.9916e-12
0.00128643,-8.59512e-10,0.00742549,7.99161e-12
0.00144724,-9.68064e-10,0.00834791,7.9916e-12
0.00160804,9.94979e-10,0.012395,8.0876e-12
0.00176884,-1.18471e-09,0.0101927,7.9916e-12
0.00192965,1.19073e-09,0.0148616,8.08762e-12
0.00209045,1.28872e-09,0.016095,8.08759e-12
0.00225126,-1.51264e-09,0.0129908,7.99159e-12
0.00241206,-1.62064e-09,0.0139132,7.99159e-12
0.00257286,1.58626e-09,0.0198361,8.08759e-12
0.00273367,-1.83654e-09,0.015758,7.99159e-12
0.00289447,-1.94446e-09,0.0166804,7.9916e-12
0.00305528,-2.05235e-09,0.0176029,7.9916e-12
0.00321608,1.98232e-09,0.0248105,8.0876e-12
0.00337688,-2.27168e-09,0.0194784,7.9916e-12
0.00353769,2.17881e-09,0.0272772,8.08759e-12
0.00369849,-2.48736e-09,0.0213233,7.9916e-12
0.0038593,2.37536e-09,0.0297438,8.0876e-12
0.0040201,-2.70299e-09,0.0231681,7.99159e-12
0.0041809,-2.8108e-09,0.0240905,7.9916e-12
0.00434171,2.67351e-09,0.0334849,8.0876e-12
0.00450251,-3.02999e-09,0.0259661,7.9916e-12
0.00466332,2.87013e-09,0.0359516,8.0876e-12
0.00482412,-3.24556e-09,0.027811,7.9916e-12
0.00498492,3.06677e-09,0.0384182,8.0876e-12
0.00514573,-3.46112e-09,0.0296558,7.99159e-12
0.00530653,-3.56889e-09,0.0305782,7.9916e-12
0.00546734,-3.68025e-09,0.0315314,7.9916e-12
0.00562814,-3.78801e-09,0.0324538,7.9916e-12
0.00578894,-3.89577e-09,0.0333762,7.9916e-12
0.00594975,-4.00353e-09,0.0342987,7.9916e-12
0.00611055,-4.11129e-09,0.0352211,7.9916e-12
0.00627136,-4.21905e-09,0.0361435,7.9916e-12
0.00643216,3.95837e-09,0.0496004,8.0876e-12
0.00659296,-4.43814e-09,0.0380191,7.9916e-12
0.00675377,4.15507e-09,0.0520671,8.0876e-12
0.00691457,4.25343e-09,0.0533004,8.0876e-12
0.00707538,4.35178e-09,0.0545337,8.0876e-12
0.00723618,-4.86913e-09,0.0417088,7.9916e-12
0.00739698,4.5485e-09,0.0570004,8.08762e-12
0.00755779,-5.08821e-09,0.0435843,7.9916e-12
0.00771859,-5.19595e-09,0.0445068,7.9916e-12
0.0078794,-5.30369e-09,0.0454292,7.9916e-12
0.0080402,-5.41143e-09,0.0463516,7.9916e-12
0.00820101,-5.51917e-09,0.047274,7.9916e-12
0.00836181,-5.6269e-09,0.0481964,7.9916e-12
0.00852261,-5.73464e-09,0.0491189,7.9916e-12
0.00868342,-5.84597e-09,0.050072,7.99159e-12
0.00884422,-5.9537e-09,0.0509945,7.99159e-12
0.00900503,5.53869e-09,0.0694159,8.08759e-12
0.00916583,-6.16917e-09,0.0528393,7.9916e-12
0.00932663,-6.2769e-09,0.0537617,7.99159e-12
0.00948744,-6.38463e-09,0.0546841,7.99159e-12
0.00964824,-6.49596e-09,0.0556373,7.9916e-12
0.00980905,-6.60369e-09,0.0565597,7.9916e-12
0.00996985,-6.71142e-09,0.0574821,7.9916e-12
0.0101307,-6.81914e-09,0.0584046,7.99162e-12
0.0102915,-6.92687e-09,0.059327,7.9916e-12
0.0104523,-7.0346e-09,0.0602494,7.9916e-12
0.0106131,-7.14233e-09,0.0611718,7.9916e-12
0.0107739,-7.25365e-09,0.062125,7.99159e-12
0.0109347,6.72571e-09,0.0842981,8.0876e-12
0.0110955,6.82408e-09,0.0855314,8.08759e-12
0.0112563,6.92246e-09,0.0867648,8.0876e-12
0.0114171,7.02083e-09,0.0879981,8.0876e-12
0.0115779,-7.79228e-09,0.0667371,7.9916e-12
0.0117387,7.22086e-09,0.0905059,8.0876e-12
0.0118995,-8.01133e-09,0.0686127,7.9916e-12
0.0120603,-8.11905e-09,0.0695351,7.9916e-12
0.0122211,-8.22678e-09,0.0704575,7.9916e-12
0.0123819,-8.3345e-09,0.0713799,7.9916e-12
0.0125427,-8.44222e-09,0.0723024,7.99159e-12
0.0127035,7.81113e-09,0.0979059,8.0876e-12
0.0128643,-8.66126e-09,0.0741779,7.99163e-12
0.0130251,-8.76899e-09,0.0751004,7.9916e-12
0.0131859,-8.87671e-09,0.0760228,7.9916e-12
0.0133467,-8.98443e-09,0.0769452,7.9916e-12
0.0135075,-9.09216e-09,0.0778676,7.9916e-12
0.0136683,8.40468e-09,0.105347,8.0876e-12
0.0138291,-9.3076e-09,0.0797125,7.9916e-12
0.0139899,-9.41892e-09,0.0806656,7.9916e-12
0.0141508,-9.52664e-09,0.081588,7.9916e-12
0.0143116,-9.63436e-09,0.0825105,7.9916e-12
0.0144724,-9.74208e-09,0.0834329,7.9916e-12
0.0146332,-9.8498e-09,0.0843553,7.9916e-12
0.014794,-9.95752e-09,0.0852777,7.9916e-12
0.0149548,-1.00688e-08,0.0862309,7.99159e-12
0.0151156,-1.01766e-08,0.0871533,7.9916e-12
0.0152764,-1.02843e-08,0.0880757,7.9916e-12
0.0154372,-1.0392e-08,0.0889982,7.9916e-12
0.015598,-1.04997e-08,0.0899206,7.99161e-12
0.0157588,-1.06074e-08,0.090843,7.9916e-12
0.0159196,-1.07152e-08,0.0917654,7.9916e-12
0.0160804,-1.08265e-08,0.0927186,7.9916e-12
0.0162412,-1.09342e-08,0.093641,7.9916e-12
0.016402,1.0087e-08,0.126437,8.0876e-12
0.0165628,1.01854e-08,0.12767,8.0876e-12
0.0167236,-1.12574e-08,0.0964083,7.9916e-12
0.0168844,-1.13651e-08,0.0973307,7.9916e-12
0.0170452,1.04805e-08,0.13137,8.0876e-12
0.017206,-1.15841e-08,0.0992063,7.9916e-12
0.0173668,1.06806e-08,0.133878,8.0876e-12
0.0175276,-1.17995e-08,0.101051,7.9916e-12
0.0176884,1.08773e-08,0.136345,8.0876e-12
0.0178492,-1.2015e-08,0.102896,7.9916e-12
0.0180101,1.10741e-08,0.138811,8.0876e-12
0.0181709,-1.2234e-08,0.104772,7.99159e-12
0.0183317,-1.23417e-08,0.105694,7.99163e-12
0.0184925,1.13725e-08,0.142552,8.0876e-12
0.0186533,-1.25572e-08,0.107539,7.99159e-12
0.0188141,-1.26649e-08,0.108461,7.9916e-12
0.0189749,-1.27726e-08,0.109384,7.9916e-12
0.0191357,-1.28803e-08,0.110306,7.9916e-12
0.0192965,-1.29916e-08,0.111259,7.9916e-12
0.0194573,1.19661e-08,0.149993,8.0876e-12
0.0196181,-1.32071e-08,0.113104,7.9916e-12
0.0197789,-1.33148e-08,0.114026,7.9916e-12
0.0199397,-1.34225e-08,0.114949,7.9916e-12
0.0201005,1.23596e-08,0.154927,8.0876e-12
0.0202613,1.2458e-08,0.15616,8.08759e-12
0.0204221,-1.37492e-08,0.117747,7.9916e-12
0.0205829,-1.3857e-08,0.118669,7.9916e-12
0.0207437,-1.39647e-08,0.119592,7.9916e-12
0.0209045,1.28548e-08,0.161135,8.08759e-12
0.0210653,-1.41801e-08,0.121437,7.99161e-12
0.0212261,-1.42878e-08,0.122359,7.9916e-12
0.0213869,-1.43991e-08,0.123312,7.9916e-12
0.0215477,1.32516e-08,0.166109,8.08759e-12
0.0217085,-1.46146e-08,0.125157,7.9916e-12
0.0218693,-1.47223e-08,0.126079,7.9916e-12
0.0220302,-1.483e-08,0.127002,7.9916e-12
0.022191,-1.49377e-08,0.127924,7.9916e-12
0.0223518,-1.50454e-08,0.128847,7.9916e-12
0.0225126,-1.51568e-08,0.1298,7.9916e-12
0.0226734,-1.52645e-08,0.130722,7.9916e-12
0.0228342,-1.53722e-08,0.131645,7.9916e-12
0.022995,-1.54799e-08,0.132567,7.9916e-12
0.0231558,-1.55876e-08,0.13349,7.9916e-12
0.0233166,-1.56953e-08,0.134412,7.9916e-12
0.0234774,-1.58067e-08,0.135365,7.9916e-12
0.0236382,-1.59144e-08,0.136288,7.9916e-12
0.023799,-1.60221e-08,0.13721,7.99162e-12
