x,U_0,U_1,U_2
0,3.7459e-10,2.41722e-05,4.1669e-10
0.000160804,-8.09747e-11,0.00094267,6.75927e-12
0.000321608,-1.83774e-10,0.00186976,6.7593e-12
0.000482412,2.73984e-10,0.00373075,6.82181e-12
0.000643216,3.61638e-10,0.00496744,6.82181e-12
0.00080402,-4.7361e-10,0.00465113,6.75931e-12
0.000964824,5.383e-10,0.00744083,6.82181e-12
0.00112563,6.29878e-10,0.00871875,6.82181e-12
0.00128643,7.186e-10,0.00995545,6.82181e-12
0.00144724,8.07387e-10,0.0111921,6.8218e-12
0.00160804,-9.53566e-10,0.00931769,6.7593e-12
0.00176884,-1.04875e-09,0.0102448,6.75929e-12
0.00192965,-1.14391e-09,0.011172,6.75929e-12
0.00209045,1.16288e-09,0.0161389,6.82179e-12
0.00225126,1.25476e-09,0.0174169,6.82179e-12
0.00241206,-1.43247e-09,0.0139843,6.75929e-12
0.00257286,-1.52757e-09,0.0149114,6.75929e-12
0.00273367,1.52159e-09,0.021127,6.82178e-12
0.00289447,1.61055e-09,0.0223637,6.82181e-12
0.00305528,-1.81285e-09,0.0176928,6.7593e-12
0.00321608,-1.9111e-09,0.0186508,6.75931e-12
0.00337688,-2.00618e-09,0.019578,6.75929e-12
0.00353769,1.9694e-09,0.0273517,6.8218e-12
0.00369849,2.05838e-09,0.0285884,6.8218e-12
0.0038593,-2.29139e-09,0.0223594,6.7593e-12
0.0040201,-2.38646e-09,0.0232865,6.7593e-12
0.0041809,-2.48152e-09,0.0242136,6.7593e-12
0.00434171,-2.57975e-09,0.0251717,6.7593e-12
0.00450251,-2.67481e-09,0.0260988,6.7593e-12
0.00466332,-2.76987e-09,0.0270259,6.75929e-12
0.00482412,2.68427e-09,0.0372865,6.82179e-12
0.00498492,-2.95999e-09,0.0288802,6.7593e-12
0.00514573,2.86226e-09,0.0397599,6.8218e-12
0.00530653,-3.1501e-09,0.0307345,6.7593e-12
0.00546734,3.04322e-09,0.0422745,6.8218e-12
0.00562814,-3.34338e-09,0.0326196,6.75931e-12
0.00578894,3.22122e-09,0.0447479,6.82181e-12
0.00594975,3.31022e-09,0.0459846,6.82181e-12
0.00611055,-3.62853e-09,0.035401,6.7593e-12
0.00627136,3.48822e-09,0.048458,6.8218e-12
0.00643216,3.58019e-09,0.049736,6.8218e-12
0.00659296,3.6692e-09,0.0509727,6.8218e-12
0.00675377,-4.01189e-09,0.0391405,6.7593e-12
