x,U_0,U_1,U_2
0,7.69959e-10,2.86877e-05,1.61668e-10
0.000160804,1.80937e-11,0.00108478,3.0619e-13
0.000321608,-3.68735e-12,0.00215163,3.0619e-13
0.000482412,-1.6677e-11,0.00321852,3.06189e-13
0.000643216,6.2512e-11,0.00536845,2.91899e-13
0.00080402,-3.73085e-11,0.00535231,3.06188e-13
0.000964824,8.8516e-11,0.00804151,2.91897e-13
0.00112563,-5.61928e-11,0.00752167,3.06188e-13
0.00128643,-6.51903e-11,0.00858857,3.06188e-13
0.00144724,-7.40818e-11,0.00965547,3.0619e-13
0.00160804,-8.28989e-11,0.0107224,3.06189e-13
0.00176884,1.57244e-10,0.0147687,2.91898e-13
0.00192965,-1.00384e-10,0.0128562,3.06187e-13
0.00209045,1.84955e-10,0.0174418,2.91898e-13
0.00225126,1.9931e-10,0.0188229,2.91898e-13
0.00241206,-1.26677e-10,0.0160924,3.06189e-13
0.00257286,2.27146e-10,0.021496,2.91898e-13
0.00273367,-1.43924e-10,0.0182262,3.06188e-13
0.00289447,2.5503e-10,0.024169,2.919e-13
0.00305528,2.68986e-10,0.0255056,2.91898e-13
0.00321608,-1.70002e-10,0.0214625,3.06188e-13
0.00337688,2.97383e-10,0.0282232,2.91898e-13
0.00353769,-1.87161e-10,0.0235963,3.06188e-13
0.00369849,-1.95732e-10,0.0246632,3.06189e-13
0.0038593,3.39319e-10,0.0322328,2.91898e-13
0.0040201,-2.12862e-10,0.026797,3.06188e-13
0.0041809,-2.21421e-10,0.0278639,3.06189e-13
0.00434171,3.81753e-10,0.036287,2.91899e-13
0.00450251,-2.38816e-10,0.0300333,3.06188e-13
0.00466332,-2.47368e-10,0.0311002,3.0619e-13
0.00482412,4.23745e-10,0.0402966,2.91898e-13
0.00498492,4.37745e-10,0.0416331,2.91898e-13
0.00514573,-2.73009e-10,0.0343009,3.06187e-13
0.00530653,-2.81552e-10,0.0353678,3.06189e-13
0.00546734,4.80225e-10,0.0456873,2.91897e-13
0.00562814,-2.9892e-10,0.0375371,3.06189e-13
0.00578894,-3.07459e-10,0.038604,3.06188e-13
