x,U_0,U_1,U_2
0,5.11491e-10,1.84954e-05,8.86406e-10
0.000160804,-3.2721e-11,0.000960815,3.82476e-12
0.000321608,1.44945e-10,0.00251978,3.82294e-12
0.000482412,-1.76418e-10,0.00285072,3.82488e-12
0.000643216,-2.40799e-10,0.00379569,3.82488e-12
0.00080402,-3.0417e-10,0.00474067,3.82488e-12
0.000964824,-3.67036e-10,0.00568564,3.82488e-12
0.00112563,-4.31694e-10,0.00666212,3.82488e-12
0.00128643,-4.94085e-10,0.0076071,3.82489e-12
0.00144724,-5.56356e-10,0.00855208,3.82488e-12
0.00160804,-6.18543e-10,0.00949705,3.82488e-12
0.00176884,-6.80669e-10,0.010442,3.82487e-12
0.00192965,7.6658e-10,0.0150559,3.82291e-12
0.00209045,-8.04797e-10,0.012332,3.82487e-12
0.00225126,-8.68884e-10,0.0133085,3.82487e-12
0.00241206,-9.3088e-10,0.0142534,3.82487e-12
0.00257286,1.02148e-09,0.0200953,3.82293e-12
0.00273367,-1.05482e-09,0.0161434,3.82486e-12
0.00289447,-1.11677e-09,0.0170884,3.82488e-12
0.00305528,-1.17871e-09,0.0180334,3.82487e-12
0.00321608,-1.2427e-09,0.0190098,3.82489e-12
0.00337688,-1.30463e-09,0.0199548,3.82487e-12
0.00353769,-1.36654e-09,0.0208998,3.82488e-12
0.00369849,-1.42845e-09,0.0218448,3.82487e-12
0.0038593,-1.49036e-09,0.0227898,3.82488e-12
0.0040201,-1.55226e-09,0.0237347,3.82487e-12
0.0041809,1.65655e-09,0.0326315,3.82294e-12
0.00434171,-1.67811e-09,0.0256562,3.82489e-12
0.00450251,-1.74e-09,0.0266012,3.82489e-12
0.00466332,-1.80189e-09,0.0275462,3.82487e-12
0.00482412,-1.86378e-09,0.0284911,3.82487e-12
0.00498492,1.97535e-09,0.0389204,3.82294e-12
0.00514573,-1.98754e-09,0.0303811,3.82487e-12
0.00530653,-2.04942e-09,0.0313261,3.82488e-12
0.00546734,-2.11336e-09,0.0323026,3.82487e-12
0.00562814,-2.17523e-09,0.0332475,3.82489e-12
0.00578894,-2.23711e-09,0.0341925,3.82489e-12
0.00594975,-2.29898e-09,0.0351375,3.82489e-12
0.00611055,-2.36085e-09,0.0360825,3.82488e-12
0.00627136,-2.42272e-09,0.0370275,3.82488e-12
0.00643216,-2.48665e-09,0.0380039,3.82488e-12
0.00659296,2.61309e-09,0.0514981,3.82294e-12
0.00675377,-2.61039e-09,0.0398939,3.82488e-12
0.00691457,-2.67226e-09,0.0408389,3.82488e-12
0.00707538,-2.73412e-09,0.0417839,3.82488e-12
0.00723618,-2.79599e-09,0.0427288,3.82488e-12
0.00739698,-2.85785e-09,0.0436738,3.82485e-12
0.00755779,-2.92178e-09,0.0446503,3.82487e-12
0.00771859,3.05873e-09,0.0602859,3.82293e-12
0.0078794,-3.04551e-09,0.0465402,3.82488e-12
0.0080402,-3.10737e-09,0.0474852,3.82488e-12
0.00820101,-3.16923e-09,0.0484302,3.82487e-12
0.00836181,-3.2311e-09,0.0493752,3.82488e-12
0.00852261,-3.29296e-09,0.0503202,3.82488e-12
0.00868342,-3.35688e-09,0.0512966,3.82488e-12
0.00884422,-3.41874e-09,0.0522416,3.82487e-12
0.00900503,-3.4806e-09,0.0531866,3.82487e-12
0.00916583,-3.54246e-09,0.0541316,3.82487e-12
0.00932663,-3.60432e-09,0.0550766,3.82487e-12
0.00948744,-3.66618e-09,0.0560215,3.82487e-12
0.00964824,-3.7301e-09,0.056998,3.82487e-12
0.00980905,-3.79196e-09,0.057943,3.82488e-12
0.00996985,3.95009e-09,0.0778615,3.82294e-12
0.0101307,-3.91567e-09,0.059833,3.82487e-12
0.0102915,-3.97753e-09,0.0607779,3.82488e-12
0.0104523,-4.03939e-09,0.0617229,3.82488e-12
0.0106131,-4.10125e-09,0.0626679,3.82488e-12
0.0107739,-4.16517e-09,0.0636444,3.82488e-12
0.0109347,-4.22702e-09,0.0645894,3.82487e-12
0.0110955,-4.28888e-09,0.0655343,3.82488e-12
0.0112563,-4.35074e-09,0.0664793,3.82488e-12
0.0114171,-4.41259e-09,0.0674243,3.82488e-12
0.0115779,-4.47445e-09,0.0683693,3.82488e-12
0.0117387,-4.53837e-09,0.0693458,3.82488e-12
0.0118995,-4.60022e-09,0.0702907,3.82488e-12
0.0120603,-4.66208e-09,0.0712357,3.82488e-12
0.0122211,-4.72393e-09,0.0721807,3.82488e-12
0.0123819,-4.78579e-09,0.0731257,3.82488e-12
0.0125427,-4.84764e-09,0.0740707,3.82488e-12
0.0127035,-4.9095e-09,0.0750156,3.82488e-12
0.0128643,-4.97341e-09,0.0759921,3.82485e-12
0.0130251,-5.03527e-09,0.0769371,3.82487e-12
0.0131859,-5.09712e-09,0.0778821,3.82487e-12
0.0133467,-5.15898e-09,0.0788271,3.82488e-12
0.0135075,-5.22083e-09,0.079772,3.82488e-12
0.0136683,-5.28269e-09,0.080717,3.82488e-12
0.0138291,-5.34454e-09,0.081662,3.82487e-12
0.0139899,-5.40846e-09,0.0826385,3.82488e-12
0.0141508,-5.47031e-09,0.0835834,3.82488e-12
0.0143116,-5.53217e-09,0.0845284,3.82488e-12
