x,U_0,U_1,U_2
0,-1.77104e-10,2.3259e-05,-4.09467e-10
0.000160804,-1.88405e-10,0.00092228,1.43753e-11
0.000321608,-3.45342e-10,0.00182932,1.43753e-11
0.000482412,4.15056e-10,0.00368706,1.46832e-11
0.000643216,-6.73425e-10,0.00364345,1.43752e-11
0.00080402,-8.38907e-10,0.00455053,1.43752e-11
0.000964824,8.37954e-10,0.0073537,1.46832e-11
0.00112563,-1.17623e-09,0.00639492,1.43752e-11
0.00128643,-1.34234e-09,0.007302,1.43752e-11
0.00144724,-1.50852e-09,0.00820907,1.43753e-11
0.00160804,-1.67476e-09,0.00911615,1.43753e-11
0.00176884,1.54335e-09,0.0135055,1.46832e-11
0.00192965,-2.00733e-09,0.0109303,1.43752e-11
0.00209045,1.82332e-09,0.01595,1.46832e-11
0.00225126,-2.34554e-09,0.0127747,1.43753e-11
0.00241206,-2.5119e-09,0.0136818,1.43753e-11
0.00257286,-2.67826e-09,0.0145889,1.43753e-11
0.00273367,-2.84464e-09,0.0154959,1.43753e-11
0.00289447,-3.01103e-09,0.016403,1.43753e-11
0.00305528,-3.17742e-09,0.0173101,1.43753e-11
0.00321608,2.81206e-09,0.024587,1.46832e-11
0.00337688,-3.51577e-09,0.0191545,1.43753e-11
0.00353769,3.09183e-09,0.0270314,1.46832e-11
0.00369849,-3.84858e-09,0.0209686,1.43753e-11
0.0038593,-4.015e-09,0.0218757,1.43753e-11
0.0040201,3.51146e-09,0.0306981,1.46832e-11
0.0041809,3.65133e-09,0.0319203,1.46832e-11
0.00434171,-4.5198e-09,0.0246272,1.43753e-11
0.00450251,-4.68623e-09,0.0255343,1.43752e-11
0.00466332,4.07558e-09,0.0356277,1.46832e-11
0.00482412,-5.01908e-09,0.0273484,1.43753e-11
0.00498492,4.3553e-09,0.0380721,1.46832e-11
0.00514573,-5.35194e-09,0.0291626,1.43753e-11
0.00530653,4.63502e-09,0.0405166,1.46832e-11
0.00546734,-5.69035e-09,0.031007,1.43753e-11
0.00562814,-5.85678e-09,0.0319141,1.43752e-11
0.00578894,-6.02321e-09,0.0328211,1.43752e-11
0.00594975,-6.18965e-09,0.0337282,1.43752e-11
0.00611055,5.33895e-09,0.0466684,1.46832e-11
0.00627136,-6.52252e-09,0.0355424,1.43752e-11
0.00643216,5.62331e-09,0.0491536,1.46832e-11
0.00659296,-6.86094e-09,0.0373868,1.43752e-11
0.00675377,5.90301e-09,0.051598,1.46832e-11
0.00691457,-7.19382e-09,0.0392009,1.43752e-11
0.00707538,6.18271e-09,0.0540425,1.46832e-11
0.00723618,-7.5267e-09,0.0410151,1.43752e-11
0.00739698,6.4624e-09,0.0564869,1.46832e-11
0.00755779,-7.86513e-09,0.0428595,1.43753e-11
0.00771859,-8.03157e-09,0.0437666,1.43753e-11
0.0078794,6.88661e-09,0.0601943,1.46832e-11
0.0080402,-8.36445e-09,0.0455807,1.43753e-11
0.00820101,-8.53089e-09,0.0464878,1.43753e-11
0.00836181,7.30615e-09,0.0638609,1.46832e-11
0.00852261,-8.86377e-09,0.048302,1.43753e-11
0.00868342,-9.03576e-09,0.0492393,1.43752e-11
0.00884422,7.73035e-09,0.0675683,1.46832e-11
0.00900503,7.87019e-09,0.0687906,1.46832e-11
0.00916583,-9.53509e-09,0.0519605,1.43753e-11
0.00932663,8.14988e-09,0.071235,1.46832e-11
0.00948744,-9.86798e-09,0.0537747,1.43753e-11
0.00964824,-1.004e-08,0.054712,1.43753e-11
0.00980905,-1.02064e-08,0.0556191,1.43752e-11
0.00996985,-1.03729e-08,0.0565261,1.43752e-11
0.0101307,-1.05393e-08,0.0574332,1.43752e-11
0.0102915,8.9936e-09,0.0786091,1.46832e-11
0.0104523,9.13345e-09,0.0798313,1.46832e-11
0.0106131,-1.10386e-08,0.0601545,1.43753e-11
0.0107739,9.41779e-09,0.0823165,1.46832e-11
0.0109347,-1.13771e-08,0.0619988,1.43753e-11
0.0110955,-1.15435e-08,0.0629059,1.43753e-11
0.0112563,-1.171e-08,0.063813,1.43752e-11
0.0114171,-1.18764e-08,0.0647201,1.43752e-11
0.0115779,1.0117e-08,0.0884275,1.46832e-11
0.0117387,-1.22148e-08,0.0665645,1.43753e-11
0.0118995,1.04013e-08,0.0909127,1.46832e-11
0.0120603,-1.25477e-08,0.0683786,1.43752e-11
0.0122211,1.0681e-08,0.0933572,1.46832e-11
0.0123819,1.08209e-08,0.0945794,1.46832e-11
0.0125427,-1.30471e-08,0.0710999,1.43752e-11
0.0127035,1.11005e-08,0.0970238,1.46832e-11
0.0128643,-1.33855e-08,0.0729443,1.43753e-11
0.0130251,1.13849e-08,0.099509,1.46832e-11
0.0131859,-1.37184e-08,0.0747584,1.43753e-11
0.0133467,-1.38849e-08,0.0756655,1.43753e-11
0.0135075,-1.40513e-08,0.0765726,1.43753e-11
0.0136683,-1.42177e-08,0.0774797,1.43753e-11
0.0138291,-1.43842e-08,0.0783867,1.43753e-11
0.0139899,1.22286e-08,0.106883,1.46832e-11
0.0141508,-1.47226e-08,0.0802311,1.43752e-11
0.0143116,-1.48891e-08,0.0811382,1.43753e-11
0.0144724,-1.50555e-08,0.0820453,1.43752e-11
0.0146332,-1.5222e-08,0.0829524,1.43753e-11
0.014794,-1.53884e-08,0.0838595,1.43752e-11
0.0149548,-1.55604e-08,0.0847968,1.43753e-11
0.0151156,-1.57269e-08,0.0857038,1.43753e-11
0.0152764,-1.58933e-08,0.0866109,1.43753e-11
0.0154372,1.34918e-08,0.117924,1.46832e-11
0.015598,1.36317e-08,0.119146,1.46832e-11
0.0157588,-1.63926e-08,0.0893322,1.43753e-11
0.0159196,-1.65591e-08,0.0902392,1.43752e-11
0.0160804,1.40559e-08,0.122853,1.46832e-11
0.0162412,1.41957e-08,0.124076,1.46832e-11
0.016402,-1.7064e-08,0.0929907,1.43753e-11
0.0165628,-1.72304e-08,0.0938978,1.43753e-11
0.0167236,-1.73969e-08,0.0948049,1.43752e-11
0.0168844,1.47551e-08,0.128964,1.46832e-11
0.0170452,-1.77298e-08,0.096619,1.43753e-11
0.017206,-1.79018e-08,0.0975563,1.43752e-11
0.0173668,-1.80682e-08,0.0984634,1.43752e-11
0.0175276,-1.82347e-08,0.0993705,1.43752e-11
0.0176884,-1.84011e-08,0.100278,1.43753e-11
0.0178492,1.55987e-08,0.136339,1.46832e-11
0.0180101,-1.8734e-08,0.102092,1.43752e-11
0.0181709,-1.8906e-08,0.103029,1.43752e-11
0.0183317,-1.90725e-08,0.103936,1.43753e-11
0.0184925,-1.92389e-08,0.104843,1.43753e-11
0.0186533,1.63026e-08,0.14249,1.46832e-11
0.0188141,-1.95718e-08,0.106657,1.43753e-11
0.0189749,1.65823e-08,0.144935,1.46832e-11
0.0191357,-1.99047e-08,0.108472,1.43753e-11
0.0192965,-2.00767e-08,0.109409,1.43753e-11
0.0194573,-2.02431e-08,0.110316,1.43753e-11
0.0196181,-2.04096e-08,0.111223,1.43752e-11
0.0197789,-2.0576e-08,0.11213,1.43753e-11
0.0199397,-2.07425e-08,0.113037,1.43753e-11
0.0201005,1.75658e-08,0.153531,1.46832e-11
0.0202613,1.77057e-08,0.154753,1.46832e-11
0.0204221,-2.12474e-08,0.115789,1.43753e-11
0.0205829,-2.14138e-08,0.116696,1.43753e-11
0.0207437,1.81298e-08,0.158461,1.46832e-11
0.0209045,-2.17467e-08,0.11851,1.43752e-11
0.0210653,-2.19132e-08,0.119417,1.43753e-11
0.0212261,1.85494e-08,0.162127,1.46832e-11
0.0213869,-2.22516e-08,0.121261,1.43753e-11
0.0215477,-2.24181e-08,0.122168,1.43753e-11
0.0217085,1.89735e-08,0.165835,1.46832e-11
0.0218693,-2.27509e-08,0.123983,1.43753e-11
0.0220302,1.92532e-08,0.168279,1.46832e-11
0.022191,-2.30838e-08,0.125797,1.43753e-11
0.0223518,-2.32503e-08,0.126704,1.43752e-11
0.0225126,1.96774e-08,0.171987,1.46832e-11
0.0226734,1.98172e-08,0.173209,1.46832e-11
0.0228342,-2.37552e-08,0.129455,1.43752e-11
0.022995,-2.39216e-08,0.130362,1.43753e-11
0.0231558,2.02368e-08,0.176875,1.46832e-11
0.0233166,-2.42545e-08,0.132177,1.43753e-11
0.0234774,2.05211e-08,0.179361,1.46832e-11
0.0236382,-2.4593e-08,0.134021,1.43753e-11
0.023799,-2.47594e-08,0.134928,1.43753e-11
0.0239598,-2.49259e-08,0.135835,1.43753e-11
0.0241206,2.10804e-08,0.18425,1.46832e-11
0.0242814,-2.52588e-08,0.137649,1.43753e-11
0.0244422,2.13601e-08,0.186694,1.46832e-11
0.024603,-2.55972e-08,0.139494,1.43752e-11
0.0247638,-2.57637e-08,0.140401,1.43753e-11
0.0249246,-2.59301e-08,0.141308,1.43753e-11
0.0250854,-2.60966e-08,0.142215,1.43753e-11
0.0252462,-2.6263e-08,0.143122,1.43753e-11
0.025407,-2.64295e-08,0.144029,1.43752e-11
0.0255678,2.23437e-08,0.19529,1.46832e-11
0.0257286,-2.67679e-08,0.145873,1.43752e-11
0.0258894,2.2628e-08,0.197775,1.46832e-11
0.0260503,-2.71008e-08,0.147688,1.43753e-11
0.0262111,-2.72672e-08,0.148595,1.43752e-11
0.0263719,2.30475e-08,0.201442,1.46832e-11
0.0265327,-2.76001e-08,0.150409,1.43753e-11
0.0266935,2.33319e-08,0.203927,1.46832e-11
0.0268543,-2.79386e-08,0.152253,1.43753e-11
0.0270151,-2.8105e-08,0.15316,1.43752e-11
0.0271759,-2.82715e-08,0.154067,1.43752e-11
0.0273367,-2.84379e-08,0.154974,1.43752e-11
0.0274975,2.4031e-08,0.210038,1.46832e-11
0.0276583,-2.87708e-08,0.156789,1.43753e-11
0.0278191,2.43154e-08,0.212524,1.46832e-11
0.0279799,-2.91093e-08,0.158633,1.43753e-11
0.0281407,-2.92757e-08,0.15954,1.43752e-11
0.0283015,2.47349e-08,0.21619,1.46832e-11
0.0284623,2.48747e-08,0.217412,1.46832e-11
0.0286231,-2.97751e-08,0.162261,1.43753e-11
0.0287839,2.51544e-08,0.219857,1.46832e-11
0.0289447,-3.01135e-08,0.164106,1.43753e-11
0.0291055,2.54388e-08,0.222342,1.46832e-11
0.0292663,2.55786e-08,0.223564,1.46832e-11
0.0294271,-3.06129e-08,0.166827,1.43753e-11
0.0295879,2.58583e-08,0.226009,1.46832e-11
0.0297487,-3.09458e-08,0.168641,1.43752e-11
0.0299095,-3.11177e-08,0.169578,1.43753e-11
0.0300704,-3.12842e-08,0.170485,1.43753e-11
0.0302312,-3.14506e-08,0.171393,1.43753e-11
0.030392,2.65621e-08,0.232161,1.46832e-11
0.0305528,2.6702e-08,0.233383,1.46832e-11
0.0307136,-3.195e-08,0.174114,1.43753e-11
0.0308744,-3.21164e-08,0.175021,1.43753e-11
0.0310352,-3.22884e-08,0.175958,1.43753e-11
0.031196,-3.24549e-08,0.176865,1.43752e-11
0.0313568,-3.26213e-08,0.177772,1.43752e-11
0.0315176,2.75457e-08,0.240757,1.46832e-11
0.0316784,-3.29542e-08,0.179587,1.43753e-11
0.0318392,2.78253e-08,0.243201,1.46832e-11
0.032,-6.89952e-09,0.107136,-2.79148e-08
